crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname
Rapeseed,4.6999998,2,,1,2017,14,Chhattisgarh,91447,53486,16993,Durg
Wheat,43.5,50.189999,38.694,1,2017,14,Chhattisgarh,91447,53486,16993,Durg
Soybean,77.400002,25.02,,1,2017,14,Chhattisgarh,91447,53486,16993,Durg
Pearl Millet,,,,1,2017,14,Chhattisgarh,91447,53486,16993,Durg
Chickpea,258.45999,259.45001,171.597,1,2017,14,Chhattisgarh,91447,53486,16993,Durg
Linseed,4.5999999,1.16,.037999999,1,2017,14,Chhattisgarh,91447,53486,16993,Durg
Safflower,.28999999,.12,,1,2017,14,Chhattisgarh,91447,53486,16993,Durg
Sorghum (Rabi),,,,1,2017,14,Chhattisgarh,91447,53486,16993,Durg
Sugarcane,19.85,3.5899999,19.82,1,2017,14,Chhattisgarh,91447,53486,16993,Durg
Oilseed,,,,1,2017,14,Chhattisgarh,91447,53486,16993,Durg
Rice,841.13,983.21002,352.733,1,2017,14,Chhattisgarh,91447,53486,16993,Durg
Cotton,.44999999,.13,.234,1,2017,14,Chhattisgarh,91447,53486,16993,Durg
Minor Pulses,109.08,46.029999,2.1259999,1,2017,14,Chhattisgarh,91447,53486,16993,Durg
Sunflower,,,,1,2017,14,Chhattisgarh,91447,53486,16993,Durg
Maize,9.25,18.09,1.473,1,2017,14,Chhattisgarh,91447,53486,16993,Durg
Castor,,,,1,2017,14,Chhattisgarh,91447,53486,16993,Durg
Sorghum (Kharif),,,,1,2017,14,Chhattisgarh,91447,53486,16993,Durg
Finger Millet,,,,1,2017,14,Chhattisgarh,91447,53486,16993,Durg
Pigeonpea,26.24,10.69,.041999999,1,2017,14,Chhattisgarh,91447,53486,16993,Durg
Sesamum,1.8,.49000001,.017000001,1,2017,14,Chhattisgarh,91447,53486,16993,Durg
Groundnut,.44999999,.76999998,.067000002,1,2017,14,Chhattisgarh,91447,53486,16993,Durg
Barley,,,,1,2017,14,Chhattisgarh,91447,53486,16993,Durg
Sorghum (Rabi),,,,2,2017,14,Chhattisgarh,21279,12584,4271,Bastar
Wheat,1.24,2.22,1.191,2,2017,14,Chhattisgarh,21279,12584,4271,Bastar
Castor,,,,2,2017,14,Chhattisgarh,21279,12584,4271,Bastar
Chickpea,1.39,1.29,.33899999,2,2017,14,Chhattisgarh,21279,12584,4271,Bastar
Linseed,.40000001,.1,.0080000004,2,2017,14,Chhattisgarh,21279,12584,4271,Bastar
Barley,,,,2,2017,14,Chhattisgarh,21279,12584,4271,Bastar
Pigeonpea,1.64,.66000003,0,2,2017,14,Chhattisgarh,21279,12584,4271,Bastar
Finger Millet,6.3000002,1.4400001,0,2,2017,14,Chhattisgarh,21279,12584,4271,Bastar
Sesamum,2.7,.75999999,0,2,2017,14,Chhattisgarh,21279,12584,4271,Bastar
Soybean,.02,.0099999998,,2,2017,14,Chhattisgarh,21279,12584,4271,Bastar
Rapeseed,2.8199999,1.24,,2,2017,14,Chhattisgarh,21279,12584,4271,Bastar
Sorghum (Kharif),,,,2,2017,14,Chhattisgarh,21279,12584,4271,Bastar
Oilseed,,,,2,2017,14,Chhattisgarh,21279,12584,4271,Bastar
Sugarcane,.72000003,.11,.616,2,2017,14,Chhattisgarh,21279,12584,4271,Bastar
Sunflower,,,,2,2017,14,Chhattisgarh,21279,12584,4271,Bastar
Groundnut,.059999999,.079999998,.0020000001,2,2017,14,Chhattisgarh,21279,12584,4271,Bastar
Maize,41.939999,120.22,10.145,2,2017,14,Chhattisgarh,21279,12584,4271,Bastar
Minor Pulses,40.68,15.07,.37799999,2,2017,14,Chhattisgarh,21279,12584,4271,Bastar
Safflower,,,,2,2017,14,Chhattisgarh,21279,12584,4271,Bastar
Cotton,,,,2,2017,14,Chhattisgarh,21279,12584,4271,Bastar
Rice,660.35999,801.82001,32.077999,2,2017,14,Chhattisgarh,21279,12584,4271,Bastar
Pearl Millet,,,,2,2017,14,Chhattisgarh,21279,12584,4271,Bastar
