rowid,country,statelgdcode,state,districtlgdcode,district,yearcode,year,monthcode,month,rf
44809,India,19,West Bengal,303,24 Paraganas North,2017,"Calendar Year (Jan - Dec), 2017",201707,"July, 2017",495.20001
44808,India,19,West Bengal,303,24 Paraganas North,2017,"Calendar Year (Jan - Dec), 2017",201706,"June, 2017",199.97
44812,India,19,West Bengal,303,24 Paraganas North,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017",231.92
44804,India,19,West Bengal,303,24 Paraganas North,2017,"Calendar Year (Jan - Dec), 2017",201702,"February, 2017",0
44811,India,19,West Bengal,303,24 Paraganas North,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017",272.84
44814,India,19,West Bengal,303,24 Paraganas North,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017",4.5500002
44803,India,19,West Bengal,303,24 Paraganas North,2017,"Calendar Year (Jan - Dec), 2017",201701,"January, 2017",1.14
44810,India,19,West Bengal,303,24 Paraganas North,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017",257.69
44806,India,19,West Bengal,303,24 Paraganas North,2017,"Calendar Year (Jan - Dec), 2017",201704,"April, 2017",24.67
44805,India,19,West Bengal,303,24 Paraganas North,2017,"Calendar Year (Jan - Dec), 2017",201703,"March, 2017",47.119999
44813,India,19,West Bengal,303,24 Paraganas North,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017",23.32
44807,India,19,West Bengal,303,24 Paraganas North,2017,"Calendar Year (Jan - Dec), 2017",201705,"May, 2017",114.96
44937,India,19,West Bengal,304,24 Paraganas South,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017",235.39
44935,India,19,West Bengal,304,24 Paraganas South,2017,"Calendar Year (Jan - Dec), 2017",201707,"July, 2017",459.85999
44934,India,19,West Bengal,304,24 Paraganas South,2017,"Calendar Year (Jan - Dec), 2017",201706,"June, 2017",194.50999
44936,India,19,West Bengal,304,24 Paraganas South,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017",244.12
44940,India,19,West Bengal,304,24 Paraganas South,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017",4.9499998
44929,India,19,West Bengal,304,24 Paraganas South,2017,"Calendar Year (Jan - Dec), 2017",201701,"January, 2017",1.1799999
44933,India,19,West Bengal,304,24 Paraganas South,2017,"Calendar Year (Jan - Dec), 2017",201705,"May, 2017",112.12
44930,India,19,West Bengal,304,24 Paraganas South,2017,"Calendar Year (Jan - Dec), 2017",201702,"February, 2017",0
44931,India,19,West Bengal,304,24 Paraganas South,2017,"Calendar Year (Jan - Dec), 2017",201703,"March, 2017",48.700001
44932,India,19,West Bengal,304,24 Paraganas South,2017,"Calendar Year (Jan - Dec), 2017",201704,"April, 2017",24.540001
44938,India,19,West Bengal,304,24 Paraganas South,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017",168.67
44939,India,19,West Bengal,304,24 Paraganas South,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017",28.27
86390,India,36,Telangana,501,Adilabad,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017",220.69
86389,India,36,Telangana,501,Adilabad,2017,"Calendar Year (Jan - Dec), 2017",201707,"July, 2017",157.62
86394,India,36,Telangana,501,Adilabad,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017",0
86392,India,36,Telangana,501,Adilabad,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017",95.459999
86384,India,36,Telangana,501,Adilabad,2017,"Calendar Year (Jan - Dec), 2017",201702,"February, 2017",0
86393,India,36,Telangana,501,Adilabad,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017",7.9499998
86386,India,36,Telangana,501,Adilabad,2017,"Calendar Year (Jan - Dec), 2017",201704,"April, 2017",.1
86387,India,36,Telangana,501,Adilabad,2017,"Calendar Year (Jan - Dec), 2017",201705,"May, 2017",12.49
86383,India,36,Telangana,501,Adilabad,2017,"Calendar Year (Jan - Dec), 2017",201701,"January, 2017",0
86388,India,36,Telangana,501,Adilabad,2017,"Calendar Year (Jan - Dec), 2017",201706,"June, 2017",143.57001
86391,India,36,Telangana,501,Adilabad,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017",101.16
86385,India,36,Telangana,501,Adilabad,2017,"Calendar Year (Jan - Dec), 2017",201703,"March, 2017",7.6799998
64337,India,23,Madhya Pradesh,667,Agar Malwa,2017,"Calendar Year (Jan - Dec), 2017",201705,"May, 2017",2.9400001
64333,India,23,Madhya Pradesh,667,Agar Malwa,2017,"Calendar Year (Jan - Dec), 2017",201701,"January, 2017",.34
64335,India,23,Madhya Pradesh,667,Agar Malwa,2017,"Calendar Year (Jan - Dec), 2017",201703,"March, 2017",0
64342,India,23,Madhya Pradesh,667,Agar Malwa,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017",3.4100001
64343,India,23,Madhya Pradesh,667,Agar Malwa,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017",0
64340,India,23,Madhya Pradesh,667,Agar Malwa,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017",129.57001
