District Name,Average Salinity/Alkalinity (Percentage)
South Andamans,0
Nicobars,0
North And Middle Andaman,0
Anantapur,12.34188169
Chittoor,2.652205203
Y.S.R.,4.378520281
East Godavari,0
Guntur,16.86394141
Krishna,11.94890312
Kurnool,12.74332121
SPSR Nellore,10.1296106
Prakasam,6.702493232
Srikakulam,0
Visakhapatanam,0.058204873
Vizianagaram,0.588028708
West Godavari,0
Changlang,0
Dibang Valley,0
East Kameng,0
East Siang,0
Kurung Kumey,0
Lohit,0
Lower Dibang Valley,0
Lower Subansiri,0
Papum Pare,0
Tawang,0
Tirap,0
Upper Siang,0
Upper Subansiri,0
West Kameng,0
West Siang,0
Anjaw,0
Longding,0
Kra Daadi,0
Namsai,0
Siang,0
Kamle,0
Lower Siang,0
Pakke Kessang,0
Leparada,0
Shi Yomi,0
Barpeta,0
Bongaigaon,0
Cachar,0
Darrang,0
Dhemaji,0
Dhubri,0
Dibrugarh,0
Goalpara,0
Golaghat,0
Hailakandi,0
Jorhat,0
Kamrup,0.007592246
Karbi Anglong,0
Karimganj,0
Kokrajhar,1.769903124
Lakhimpur,0.421320792
Marigaon,0
Nagaon,0
Nalbari,0
Dima Hasao,0
Sivasagar,0
Sonitpur,0.08952356
Tinsukia,0
Chirang,0
Baksa,0
Udalguri,0
Kamrup Metro,0.803451867
Biswanath,0
Majuli,0
South Salmara Mancachar,0
Charaideo,0
Hojai,0
West Karbi Anglong,0
Araria,0.020336829
Aurangabad,0.870511425
Banka,0
Begusarai,3.47761194
Bhagalpur,2.950756596
Bhojpur,25.36546075
Buxar,24.07560706
Darbhanga,0.001554714
Gaya,1.25790507
Gopalganj,54.7849069
Jamui,0
Jehanabad,6.61641541
Kaimur (Bhabua),10.06594738
Katihar,0.735803078
Khagaria,0.400729037
Kishanganj,0
Lakhisarai,0
Madhepura,2.138567752
Madhubani,1.999382089
Munger,0
Muzaffarpur,32.96913214
Nalanda,0.056439307
Nawada,0
Pashchim Champaran,9.375945892
Patna,7.589995311
Purbi Champaran,19.91566738
Purnia,1.112407833
Rohtas,5.27424027
Saharsa,4.42241708
Samastipur,7.793030966
Saran,36.82237186
Sheikhpura,0
Sheohar,5.935013263
Sitamarhi,22.59168582
Siwan,52.93196185
Supaul,0.065997182
Vaishali,54.81226015
Arwal,0
Bastar,0
Bilaspur,0.390813256
Dantewada,0
Dhamtari,0
Durg,0
Janjgir-Champa,0
Jashpur,0
Kanker,0
Kabirdham,0
Korba,0
Korea,0
Mahasamund,0
Raigarh,0
Raipur,0
Rajnandgaon,0
Surguja,0
Bijapur,0
Narayanpur,0
Sukma,0
Kondagaon,0
Baloda Bazar,0
Gariyaband,0
Balod,0
Mungeli,0
Surajpur,0
Balrampur,0.105324126
Bemetara,0
Gaurella Pendra Marwahi,0.002892514
Chandigarh,0
Daman,0
New Delhi,0
North,4.169381107
North East,0
North West,85.71428571
South,0
South West,0
West,0
South East,0
Dadra And Nagar Haveli,0
North Goa,5.389940481
South Goa,0
Ahmadabad,83.01628856
Amreli,27.80520836
Anand,66.11622482
Banas Kantha,71.26614624
Bharuch,47.63096805
Bhavnagar,44.3074253
Dang,0
Dohad,0
Gandhinagar,0
Jamnagar,17.3893176
Junagadh,16.38507966
Kachchh,20.52036644
Kheda,8.393974429
Mahesana,7.111964234
Narmada,0.060395111
Navsari,22.18218529
Panch Mahals,0.034394028
Patan,70.41844128
Porbandar,44.58203454
Rajkot,0.471389363
Sabar Kantha,0.074435133
Surat,17.13575214
Surendranagar,47.37891282
Vadodara,4.29097786
Valsad,2.452587927
Tapi,0
Chhotaudepur,0
Mahisagar,0
Arvalli,0
Morbi,55.99654677
Devbhumi Dwarka,51.2376927
Gir Somnath,23.19492155
Botad,42.5340444
Chamba,0
Hamirpur,1.945764281
Kangra,0.251895137
Kinnaur,0
Kullu,1.105313459
Lahul &amp; Spiti,0
Mandi,1.919423925
Shimla,1.735352711
Sirmaur,0.248091983
Solan,0.982709001
Una,0.006912645
Ambala,0
Bhiwani,0.972133762
Faridabad,4.303522213
Fatehabad,3.061346753
Gurugram,7.170852083
Hisar,3.181288008
Jhajjar,7.372226423
Jind,62.86878792
Kaithal,94.93148226
Karnal,96.5954103
Kurukshetra,94.75232198
Mahendragarh,0.067567311
Panchkula,1.062288749
Panipat,59.71878559
Rewari,0.168173218
Rohtak,23.60847211
Sirsa,1.550838542
Sonipat,85.18629382
Yamunanagar,1.882836049
Nuh,31.3281371
Palwal,34.51663544
Charki Dadri,3.833004867
Bokaro,0
Chatra,0
Deoghar,0
Dhanbad,0
Dumka,0
East Singhbum,0
Garhwa,0
Giridih,0
Godda,0
Gumla,0
Hazaribagh,0
Jamtara,0
Koderma,0
Latehar,0
Lohardaga,0
Pakur,0
Palamu,0
Ranchi,0
Sahebganj,0
Saraikela Kharsawan,0
Simdega,0
West Singhbhum,0
Khunti,0
Ramgarh,0
Anantnag,0
Budgam,0
Baramulla,0
Doda,0
Jammu,0
Kathua,0
Kupwara,0
Poonch,0
Pulwama,0
Rajouri,0
Srinagar,0
Udhampur,0
Kishtwar,0
Ramban,0
Kulgam,0
Bandipora,0
Samba,0
Shopian,0
Ganderbal,0
Reasi,0
Bagalkote,33.48315161
Bengaluru Urban,0
Bengaluru Rural,0.146233162
Belagavi,16.50813143
Ballari,6.439305471
Bidar,2.144761905
Vijayapura,32.51771844
Chamarajanagara,2.133855796
Chikkamagaluru,0.23318108
Chitradurga,5.517792473
Dakshina Kannada,0.02462354
Davangere,5.438305897
Dharwad,63.78398811
Gadag,64.80685578
Kalaburagi,14.96447745
Hassan,0.025147948
Haveri,8.395519671
Kodagu,0
Kolar,0.086816909
Koppal,27.83220608
Mandya,0.102585889
Mysuru,0.949660522
Raichur,40.20297263
Shivamogga,0
Tumakuru,1.0458634
Udupi,0
Uttara Kannada,0.370385583
Chikkaballapura,0.393686231
Ramanagara,0.047828823
Yadgir,14.1160818
Alappuzha,0
Ernakulam,0
Idukki,0
Kannur,0
Kasaragod,0
Kollam,0
Kottayam,0
Kozhikode,0
Malappuram,0
Palakkad,0
Pathanamthitta,0
Thiruvananthapuram,0
Thrissur,0
Wayanad,0
Lakshadweep District,0
Kargil,3.253515607
Leh Ladakh,0.667649753
Ahmednagar,2.882446944
Akola,7.86291722
Amravati,7.95235118
Beed,0
Bhandara,0
Buldhana,2.436014768
Chandrapur,0.028132066
Dhule,1.993371106
Gadchiroli,0
Gondia,0
Hingoli,0
Jalgaon,11.39637414
Jalna,0
Kolhapur,1.226774015
Latur,0
Mumbai Suburban,0.098167539
Nagpur,0
Nanded,0.23905484
Nandurbar,0.362501889
Nashik,0.929148174
Osmanabad,0.061651055
Parbhani,0
Pune,1.139323747
Raigad,6.553890926
Ratnagiri,0.942008525
Sangli,3.064618315
Satara,0.486302781
Sindhudurg,0.906705687
Solapur,3.721281441
Thane,2.603828331
Wardha,0
Washim,0
Yavatmal,0.100783358
Palghar,4.411493368
East Garo Hills,0
East Khasi Hills,0
West Jaintia Hills,0
Ri Bhoi,0
South Garo Hills,0
West Garo Hills,0
West Khasi Hills,0
North Garo Hills,0
East Jaintia Hills,0
South West Khasi Hills,0
South West Garo Hills,0
Bishnupur,0
Chandel,0
Churachandpur,0
Imphal East,0
Imphal West,0
Senapati,0
Tamenglong,0
Thoubal,0
Ukhrul,0
Kakching,0
Kangpokpi,0
Jiribam,0
Noney,0
Pherzawl,0
Tengnoupal,0
Kamjong,0
Anuppur,0.772045015
Ashoknagar,0
Balaghat,0
Barwani,0
Betul,0
Bhind,9.704449373
Bhopal,0
Burhanpur,0.013485623
Chhatarpur,0.028967587
Chhindwara,0
Damoh,0
Datia,7.39401972
Dewas,1.117636308
Dhar,0.253968898
Dindori,0
East Nimar,0
Guna,0
Gwalior,7.497097925
Harda,0
Hoshangabad,0
Indore,0.046443486
Jabalpur,0
Jhabua,0.118634386
Katni,0
Khargone,0.007706788
Mandla,0
Mandsaur,9.485868506
Morena,1.992025151
Narsinghpur,0
Neemuch,3.719841461
Panna,0.097995568
Raisen,0
Rajgarh,0
Ratlam,5.433769244
Rewa,0
Sagar,0.026945804
Satna,0.077830968
Sehore,0
Seoni,0
Shahdol,0
Shajapur,0
Sheopur,0.158404444
Shivpuri,0.234281321
Sidhi,0
Tikamgarh,0
Ujjain,8.159691036
Umaria,0
Vidisha,0
Singrauli,0
Alirajpur,0
Agar Malwa,0.899951911
Niwari,0
Aizawl,0.025931419
Champhai,0.08758782
Kolasib,0.314981364
Lawngtlai,0.007299466
Lunglei,0.020549657
Mamit,0.077413844
Saiha,0.043277654
Serchhip,0.0195214
Dimapur,0
Kohima,0
Mokokchung,0
Mon,0
Phek,0
Tuensang,0
Wokha,0
Zunheboto,0
Peren,0
Kiphire,0
Longleng,0
Anugul,0.043775398
Balangir,0
Baleshwar,0
Bargarh,0
Bhadrak,0
Boudh,0
Cuttack,1.136765154
